object_in_ context,OBJECT ID,TITLE,SUPPLIED_TITLE,DATE,SUBJECT_NAME,SUBJECT_NAME_2,SUBJECT_NAME_3,SUBJECT_NAME_4,SUBJECT_TOPIC,SUBJECT_TOPIC_2,SUBJECT_TOPIC_3,SUBJECT_GEOGRAPHIC,SUBJECT_GEOGRAPHIC_2,DESCRIPTION,TECHNIQUE ,TECHNIQUE_2,URI_medium,CREDIT LINE,DIMS (HxW),PUBLISHER,CREATOR,NAME TYPE (personalal / corporate),ACTIVE DATES,DOB/DOD,NATIONALITY
https://kiva.lib.utk.edu/egypt/items/show/797,1997.5.20,The North Shore of the Dead Sea,,1857,,,,,,,,Dead Sea (Israel and Jordan),,"The Dead Sea from North Shore in Israel/Jordan; driftwood and sand on the curving north shore of the Dead Sea, foreground; small island (middle ground); mountain range on opposite shore (background); ""Frith P 113"" in black at bottom left corner; ""THE NORTH SHORE OF THE DEAD SEA. Frith.Photo.1857"" in black across bottom of print on mat; (Original number unknown, print given 1997.5.20 based on information in accession record, M.K., M.R.J., 2/8/2013).",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",6.125 x 9.125 in,,Francis Frith & Co.,corporate,1859-1971,,
https://kiva.lib.utk.edu/egypt/items/show/722,1996.9.9,Philae from East,,1900,"Temple of Isis (Aswan, Egypt)",,,,Tombs--Egypt,,,Aswan Dam (Egypt),,"Temple of Isis from Island of Bigga with Assuan Barrage construction buildings; group of modern buildings used in the construction of Assuan dam (foreground) that would eventually flood the island Temple of Philae (background); ""No 104. PHILAE FROM EAST. 24/5/00. D.S. GEORGE."" in white along bottom of print.",gelatin silver prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",9.5 x 11.5 in,,"George, D. S.",personal,,,
https://kiva.lib.utk.edu/egypt/items/show/634,1997.5.16,Edfou. Vue generale du temple,,1851-1852,"Temple of Horus (IdfÇ, Egypt)",,,,Temples--Egypt,,,Idfuíã (Egypt),,"Longview of the Temple of Horus at Edfu (Ptolemaic Period); partially excavated pylon and Temple of Horus before cleared of debris by Auguste Mariette ca. 1860 (middle ground); blurry trees and mountain range (background); ""Edfou. Vue generale du temple."" in black above and below print on mat.",salted paper prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",9.25 x 11.875 in ,,"Teynard, Félix",personal,,1817-1892,French
https://kiva.lib.utk.edu/egypt/items/show/605,1997.5.6,Portico of the Temple of Dendera,,1856-1859,"Temple of Hathor (Dandara, Egypt)",,,,Temples--Egypt,Hathor (Egyptian deity),,Dandara (Egypt),,"Temple of Hathor Facade at Dendereh (Ptolemaic-Roman Period, ca. 116 B.C. - A.D. 34); main Temple of Hathor facade taken from a rocky hill, a western man and Egyptian boy (left foreground); ""Frith No. 10 1857"" in black on print bottom right corner; ""PORTICO OF THE Temple OF DENDERA"" in black along bottom of print.",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",6.25 x 9 in,,Francis Frith & Co.,corporate,1859-1971,,
https://kiva.lib.utk.edu/egypt/items/show/627,1997.5.12,Entrance to the Great Temple-Luxor,,1856-1859,"Temple of Amon (Karnak, Egypt)","Ramses II, King of Egypt",,,Obelisks--Egypt,Temples--Egypt,,Karnak (Egypt),,"First pylon and Obelisk of Rameses II, Temple of Amen at Luxor, East Thebes (New Kingdom Dynasty XIX); profile view of the first pylon of the Temple of Amen, two monumental statues of Rameses II wearing the sekhemty crown buried from the shoulders down, and the one remaining obelisk of Rameses II, indentified by cartouches, Egyptian man striding along pathway before ruins; ""Frith"" in black at bottom left corner; ""ENTRANCE TO THE GREAT Temple. Luxor."" in black under print on mat.",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",8.5 x 6.25 in,,Francis Frith & Co.,corporate,1859-1971,,
https://kiva.lib.utk.edu/egypt/items/show/629,1997.5.15,Cleopatra's Temple at Erment,,1856-1859,,,,,Temples--Egypt,Montu (Egyptian deity),,Medamud Site (Egypt),,"Temple of Montu and Rat-tway at Erment (Ptolemaic Period); open papyrus column and heavily inscribed ruins of the new Temple of Montu and his consort Rat-tawy, begun by Nectanebo II and continued by the Ptolemies, including Cleopatra VII Philopator and her son Ptolemy XV Caesarion; an Egyptian man sits among the ruins (left foreground); ""Frith no. 1857"" in black at bottom left corner;  ""CLEOPATRA'S Temple AT ERMENT. Frith. Photo. 1857"" in black under print on mat.",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",9 x 6.25 in,,Francis Frith & Co.,corporate,1859-1971,,
https://kiva.lib.utk.edu/egypt/items/show/635,1997.5.19,Koum Ombo-From the North East,,1856-1859,Temple of Sobek and Haroeris (Ombos),,,,Temples--Egypt,,,Ombos (Extinct city),,"Longview of Temple of Sobek and Haroeris at Kom Ombo (Ptolemaic Period); main temple, after cleared of debris by Jacques de Morgan in 1893, dedicated to two triads of deities, Sobek and Haroeris and their respective consorts and children; large open papyrus columns support ruined Temple, four people mill about (fore and middle ground); desert and distant copses of trees (background); ""Frith"" in back at bottom left corner; ""KOUM OMBO. From the North East"" in black under print on mat.",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",6 x 8.375 in,,Francis Frith & Co.,corporate,1859-1971,,
https://kiva.lib.utk.edu/egypt/items/show/646,1997.5.22,"The Temple of Kalabshe, Nubia",,1856-1859,"Temple of Kalabsha (New Kalabsha, Egypt)",,,,Temples--Egypt,,,New Kalabsha (Egypt),,"Longview of the Temple of Mandulis at Kalabsheh (Roman Period); unfinished Temple begun during the reign of Augustus and dedicated to the Lower Nubian sun god, Mandulis; four Egyptian men sit among rocks and ruins (foreground) before Temple (middle ground); situated near palm tree lined shore of the Nile (background); ""Frith"" in black at bottom left corner; ""THE Temple OF KALABSHE Nubia "" in black under print on mat.",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",6.125 x 8.75 in,,Francis Frith & Co.,corporate,1859-1971,,
https://kiva.lib.utk.edu/egypt/items/show/647,1997.5.25,"The Temple of Maharraka, Nubia",,1856-1859,,,,,Temples--Egypt,Serapis (Egyptian deity),,,,"Temple of Serapis at Maharaka (Ptolemaic-Roman Periods); ruined temple and colonnade dedicated to the Greco-Egyptian god Serapis and Isis, before relocation in the mid-1960's due to the Assuan Dam project, this Temple was never completed and thus not inscribed; ""Frith No. 11 1857"" on print at bottom left center; ""THE Temple OF MAHARRAKA. Nubia. Frith. Photo. 1857"" in black under print.",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",6.125 x 8.625 in,,Francis Frith & Co.,corporate,1859-1971,,
https://kiva.lib.utk.edu/egypt/items/show/726,1997.5.5,View on Philae,,1856-1859,"Temple of Isis (Aswan, Egypt)",,,,Temples--Egypt,,,Philae (Egypt),,"Temple of Isis at Philae (Ptolemaic Period); ruined open papyrus colonnade and court of temple, wall inscribed with deities and hieroglyphs (foreground); pylon inscribed with deities (background); ""Frith E No 23 1857"" in black at bottom right; ""VIEW ON PHILAE"" in black at below center of print. (Original number unknown, print given 1997.5.5 based on information in accession record, M.K., M.R.J., 1/31/2013)",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",6.25 x 9 in,,Francis Frith & Co.,corporate,1859-1971,,
https://kiva.lib.utk.edu/egypt/items/show/746,1997.5.9,"The Temple Palace, Habou. Thebes.",,1856-1859,"Temple of Ramses III (Medinet Habu Site, Egypt)",,,,Temples--Egypt,,,Medinet Habu Site (Egypt),,"Fortified gate, Temple of Rameses III at Medinet Habu, West Thebes (New Kingdom Dynasty XX); entrance gate or migdol to the Temple of Rameses III heavily inscribed with hieroglyphs and human figures, pylon (right) ruins and rubble surround all; ""Frith"" in black at bottom right corner; ""THE Temple PALACE, HABOU. Thebes."" in black below center of print on mat. (Original number unknown, print given 1997.5.9 based on information in accession record, M.K., M.R.J., 1/31/2013).",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",6.375 x 9 in,,Francis Frith & Co.,corporate,1859-1971,,
https://kiva.lib.utk.edu/egypt/items/show/798,1997.5.26.1 & .2,Mount Horeb Sinai,,1856-1859,,,,,,,,"Sinai, Mount (Egypt)",,"Mount Horeb, peak of Mount Sinai; rocky area of Sinai Peninsula with camel and figure (foreground); Mount Sinai or Mount Horeb, where Moses supposedly witnessed the burning bush and received the Commandments (background); ""Frith 185"" in black on print at bottom right corner; ""MOUNT HOREB, SINAI."" in black below print on mat; accompanying print with information on the mythological history of Mount Horeb. (Original number unknown, print given 1997.5.26.1 & .2 based on information in the accession record, M.K., M.R.J., 2/8/2013).",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",17.25 x 12.5 in,,Francis Frith & Co.,corporate,1859-1971,,
https://kiva.lib.utk.edu/egypt/items/show/799,1997.5.27,The Nile from the quarries of Toura,,1856-1859,,,,,Limestone--Egypt,Quarries and quarrying--Egypt,,Nile River,,"Limestone quarries and Nile River at Tourna; ancient Egyptian limestone quarry (foreground); harbor and shore of the Nile River (background); ""THE NILE, FROM THE QUARRIES OF TOURA. Frith"" in black at bottom right corner of print and along bottom of print. (Original number unknown, print given 1997.5.27 based on information in accession record, M.K., M.R.J., 2/8/2013).",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",6.25 x 8.75 in,,Francis Frith & Co.,corporate,1859-1971,,
https://kiva.lib.utk.edu/egypt/items/show/586,1995.4.2,Phylàe: vue generale des temple,,1860-1890,"Temple of Isis (Aswan, Egypt)",Kiosk of Trajan,,,Temples--Egypt,,,Aswaíãn (Egypt),Philae (Egypt),"Kiosk of Trajan and First Pylon Temple of Isis at Philae (Ptolemaic-Roman Periods); Temple of Isis complex and Kiosk of Trajan among ruins on the island of Philae (foreground); ruins and plam trees (background); ""880. Phylae: vue generale des temples J.P. Sebah"" in white along bottom of print. (Number on object is 2/698).",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",10.375 x 8.5 in,,"Sébah, Jean Pascal",personal,,1872-1947,Turkish
https://kiva.lib.utk.edu/egypt/items/show/601,1995.3.1,Interieur du tombeau de Ti à Zakarah,,1860-1890,,,,,Tombs--Egypt,"Inscriptions, Egyptian",,Sí£aqqaíãrah (Egypt),,"Relief from Tomb of Ti at Sakkara (Old Kingdom Dynasty V); close up of five rows from a section of wall relief incised with men and animals within the tomb of Old Kingdom noble, Ti; ""Interieur du tombeau de Ti a Zakarah 525 J.P. Sebah"" in white along bottom of print. (Number on object is 1/697).",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",8.25 x 10.5 in,,"Sébah, Jean Pascal",personal,,1872-1947,Turkish
https://kiva.lib.utk.edu/egypt/items/show/606,1996.10.8,Denderah Temple (pris du Sud Ouest),,1860-1890,"Temple of Hathor (Dandara, Egypt)",,,,Temples--Egypt,,,Dandara (Egypt),,"Longview of Temple of Hathor at Dendereh (Ptolemaic-Roman Periods, ca. 116 B.C.-A.D. 34); image of the Temple of Hathor taken from the south west depicts the sand surrounding the Temple complex and the ruins in the back (foreground); desert and ruins (background); ""733 Denderah Temple (pris du Sud Ouest) J.P. Sebah"" in white along bottom of print. ",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",8.375 x 10.625 in,,"Sébah, Jean Pascal",personal,,1872-1947,Turkish
https://kiva.lib.utk.edu/egypt/items/show/609,1997.5.11,Thèbes Tombeaux des Rois,,1860-1890,,,,,Tombs--Egypt,,,Valley of the Kings (Egypt),,"Main roadway and El-Qurn ('The Horn') at the Valley of the Kings, West Thebes; desert scene of four Egyptian men and a donkey traveling along the main roadway to the Valley of the Kings (foreground); El-Qurn or 'The Horn' (background); ""Thebes Tombeaux des Rois J.P. Sebah"" in white along bottom of print; ""Valley of Tombs of the Kings, Thebes"" in ink at bottom left corner of mat.",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",8.375 x 10.625 in,,"Sébah, Jean Pascal",personal,,1872-1947,Turkish
https://kiva.lib.utk.edu/egypt/items/show/619,1996.10.14,Thèbes Ramesseion (vue generale),,1860-1890,"Ramesseum (Thebes, Egypt)",,,,Temples--Egypt,,,Thebes (Egypt),,"Far view of Temple of Rameses II (Ramesseum) at the Theban Plain, West Thebes (New Kingdom Dynasty XIX); ruined colonnade of closed papyrus coloumns scattered across desert (foreground); Colossi of Memnon (left background); ""75 Thèbes Ramesseion (vue generale) J.P. Sebah"" in white along bottom of print.",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",8.25 x 10.625 in,,"Sébah, Jean Pascal",personal,,1872-1947,Turkish
https://kiva.lib.utk.edu/egypt/items/show/631,1996.10.23,Edfou Le Sanctuaire,,1860-1890,"Temple of Horus (IdfÇ, Egypt)",,,,Temples--Egypt,,,Idfuíã (Egypt),,"Shrine in the Temple of Horus at Edfu (Ptolemaic Period); stone doorway with pyramidal roof, winged sun disk upon the lintel, and three columns of hieroglyphs and cartouches down each side set in corner of two walls heavily inscribed with hieroglyphs, cartouches, and images of deities; ""860 Edfou le Sanctuaire J.P. Sebah"" in white along bottom of print. ",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",8.25 x 10.625,,"Sébah, Jean Pascal",personal,,1872-1947,Turkish
https://kiva.lib.utk.edu/egypt/items/show/641,1995.4.3,Phylae (colonnades),,1860-1890,"Temple of Isis (Aswan, Egypt)",,,,Temples--Egypt,,,Aswan (Egypt),,"Colonnade of Birth House of Hathor-Isis at Philae (Ptolemaic-Roman Periods); seven Hathor capital columns adorned with cartouches and other motifs supporting the facade of the Birth House or Mammisi of Hathor-Isis, group of five Egyptian men and boys in group before Birth House; pylon (background); ""Phylae (colonnades) J.P. Sebah 897"" in white along bottom of print. (Number on object is 3/698).",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",8.25 x 11 in,,"Sébah, Jean Pascal",personal,,1872-1947,Turkish
https://kiva.lib.utk.edu/egypt/items/show/644,1996.10.28,Temple de Debod. Nubie,,1860-1890,"Temple of Isis (Aswan, Egypt)",,,,Temples--Egypt,,,,,"Pylons at Temple of Isis at Debod (Ptolemaic-Roman Periods); two gateways before ruined pylon of the Temple of Isis built ca. 200 B.C.E.; ""No 105_ Temple de Debod. Nubie P. Sebah Phot."" in white along bottom of print. ",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",10.375 x 14.625,,"Sébah, Jean Pascal",personal,,1872-1947,Turkish
https://kiva.lib.utk.edu/egypt/items/show/645,1996.10.29,Nubie: Kalabcheh portique du temple,,1860-1890,"Temple of Kalabsha (New Kalabsha, Egypt)",,,,Temples--Egypt,,,New Kalabsha (Egypt),,"Temple of Mandulis at Kalabsheh (Roman Period); incised, ruined Temple in pyramidal form with four open papyrus columns supporting cracked lintel adorned with winged sun disk (foreground); Temple complex ruins (background); ""934: Nubie: Kalabcheh portique du Temple J.P. Sebah"" in white along bottom of print. ",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",8.25 x 10.625 in,,"Sébah, Jean Pascal",personal,,1872-1947,Turkish
https://kiva.lib.utk.edu/egypt/items/show/648,1996.10.27,Abu Simbel. Statues ramesses II. (Nubie 949),,1860-1890,"Temple of Ramses III (Medinet Habu Site, Egypt)",,,,Tombs--Egypt,,,Medinet Habu Site (Egypt),,"Mortuary Temple of Rameses II at Abu Simbel (New Kingdom Dynasty XIX); The Great Temple at Abu Simbel dedicated to Amen, Ra-Horakhty, Ptah, and Rameses II deified taken from the right, three colossal Rameses II statues and part of fourth visible along with smaller statues of Horus as a falcon and female relatives; pedestals and areas around statues incised with cartouches indentiying Rameses II and other Egyptian motifs, feluka on the Nile and opposite shore (background); ""949 Abu Simbel. Statues ramesses II. (Nubie 949) J.P. Sebah"" in white along bottom of print.",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",8.25 x 10.625 in,,"Sébah, Jean Pascal",personal,,1872-1947,Turkish
https://kiva.lib.utk.edu/egypt/items/show/658,1996.10.2,Mus: de Ghiseh...d'un Secretaire...Ank,,1860-1890,Giza Museum,,,,Statues--Egypt,,,,,"Statue of an official (Old Kingdom Dynasty V) at the Gizeh Museum; wood statue with detachable limbs wears kilt and stylized cropped curled wig, passive face, bare feet; freestanding statue stands upon fractured pedestal; statue in shadows in niche (background); ""204 (Mus: de Ghiseh...d'un Secretaire...Ank...J.P. Sebah"", in white, bottom right corner of print. ",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",10.625 x 8.5 in,,"Sébah, Jean Pascal",personal,,1872-1947,Turkish
https://kiva.lib.utk.edu/egypt/items/show/711,1996.10.26,Phylae de la Ríve Oríentale,,1860-1890,"Temple of Isis (Aswan, Egypt)",,,,Temples--Egypt,,,Philae (Egypt),,"Temple of Isis and Kiosk of Trajan from Island of Bigga at Luxor, East Thebes (New Kingdom Dynasty XVIII); small and large palm trees on Island of Bigga (foreground) Nile River and boat (middle ground); pylon of Temple of Isis and Kiosk of Trajan before Aswan flooding, quarries (background); ""908. Phylae de la Rive Orientale J.P. Sebah"" in white along bottom of print.",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",8.125 x 10.5 in,,"Sébah, Jean Pascal",personal,,1872-1947,Turkish
https://kiva.lib.utk.edu/egypt/items/show/716,1995.4.1,Karnak Avenue des beliers & Propylône Ptolemee Evegete,,1860-1890,"Ptolemy III Euergetes, King of Egypt, -221 B.C.",,,,Tombs--Egypt,,,Karnak (Egypt),,"Avenue of Sphinxes and Propylon of Ptolemy III, Euergetes I at Karnak (Ptolemaic Period); large palm trees surround ruined avenue of sphinxes with three Egyptian men milling about, foreground; figure and horse moving towards Egyptian motif incised propylon and pylon of Temple (background); ""769-Karnak Avenue des beliers & Propylone Ptolemee Evegete J.P. Sebah"" in white along bottom of print. (Number on object is 1/698).",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",8.25 x 10.625 in,,"Sébah, Jean Pascal",personal,,1872-1947,Turkish
https://kiva.lib.utk.edu/egypt/items/show/723,1995.4.4,Denderah intérieur du temple de Hathor,,1860-1890,"Temple of Hathor (Dandara, Egypt)",,,,Temples--Egypt,Columns--Egypt,,Dandara (Egypt),,"Interior columns, Temple of Hathor at Denderah (Ptolemaic-Roman Periods); Hathor columns in the interior of the Temple inscribed with several rows of hieroglyphs, cartouches, uraei, and human and divine figures, lintels of ceiling in shadows; ""736 Denderah intérieur du temple de Hathor J.P. Sebah"" in white along bottom of print; ""Egyptian Family - Cairo"" in pencil on back of matte. (Number on object is 4/698)",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",10.5 x 8.25 in,,"Sébah, Jean Pascal",personal,,1872-1947,Turkish
https://kiva.lib.utk.edu/egypt/items/show/724,1995.3.2,Abydos: temple de Seti I. 2me Salle: Bas Relief,,1860-1890,"Temple of Seti I (Abydos, Egypt)",Isis (Egyptian deity),,,Temples--Egypt,"Inscriptions, Egyptian",Horus (Egyptian deity),Abydos (Egypt),,"Wall relief, Seti I before Gods Horus and Osiris, Temple of Seti I at Abydos (New Kingdom Dynasty XIX); mummified Seti I wears white crown and false beard, holds crook, flail, and was scepter in both hands as Horus and Osiris prepare the deceased for the Afterlife; a depiction of Horus as a falcon frames with upper left corner of hieroglyphs along the top and right side; ""789 Abydos: Temple of Seti I. 2me Salle: Bas Relief J.P. Sebah"" in white along bottom of print.""Setho. I. offering Incense & water of Life from 3 jars falling on to Osiris Lotus flowers"", in pencil, back of print. (Number on object is 2/697)",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",8.25 x 10.625 in,,"Sébah, Jean Pascal",personal,,1872-1947,Turkish
https://kiva.lib.utk.edu/egypt/items/show/785,2009.22.1,(Tombeaux des Califs) Kaït-Bey (intérieur),,1860-1890,"Qaíãæ_it Baíãy, Sultan of Egypt and Syria, -1496",,,,Tombs--Egypt,,,Cairo (Egypt),,"Interior of tomb, mosque of Kait-Bey (Quait-Bey) in eastern cemetery (one of two mosques). Closed wood doors flank niche (Mihrab), indicating east direction of Mecca and Kaaba ""(Tombeaux des Califs) Kait-Bey (interieur) 88"" on print at bottom left corner; ""J.P. Sebah"" on print at bottom right corner.",albumen prints,,,"Anonymous, McClung Museum of Natural History and Culture, The University of Tennessee",17 x 14 in,,"Sébah, Jean Pascal",personal,,1872-1947,Turkish
https://kiva.lib.utk.edu/egypt/items/show/786,2009.22.2,Mosquée Kaït-Bey á Kabaat-el-Kepche (Minaret),,1860-1890,,,,,Minarets--Egypt--Cairo,Mosques--Egypt--Cairo,,,,"Mosque minaret of Shaykh Al-Burdayni (1616-1629), an Islamic Shafilite Egyptian. The mosque was completed in 1694 by a wealthy merchant. The minaret is characteristic of the Mamluk, a revivial of the Quait-Bey period. ""Mosquee Kait-Bey a Kabaat-el-Kepchee (Minaret) 44"" on print at bottom right side; ""J.P. Sebah"" below.",albumen prints,,,"Anonymous, McClung Museum of Natural History and Culture, The University of Tennessee",17 x 14 in,,"Sébah, Jean Pascal",personal,,1872-1947,Turkish
